No.;Kode Item;Nama Item;Jenis;Stok;Satuan;Qty / Paket;Satuan;Harga Pokok;Harga Level 1;Harga Level 2;Harga Level 3
636;HVS-001;Kertas HVS 80  F4 Sidu;Kertas;7,2;Dus;5;Rim;235770;260000;0;0
637;HVS-002;Kertas HVS 80 A4 Sidu;Kertas;12;Rim;1;Rim;42421;47000;52000;43000
638;HVS-002;Kertas HVS 80 A4 Sidu;Kertas;2,4;Dus;5;Rim;212105;230000;0;0
639;HVS-003;Kertas HVS 70 Q  Sidu;Kertas;39;Rim;1;Rim;40060;45500;50500;0
640;HVS-003;Kertas HVS 70 Q  Sidu;Kertas;7,8;Dus;5;Rim;200300;222500;0;0
641;HVS-004;Kertas HVS 80 Q  Sidu;Kertas;14;Rim;1;Rim;43000;44500;49000;0
642;HVS-004;Kertas HVS 80 Q  Sidu;Kertas;2,8;Dus;5;Rim;215000;217500;0;0
643;HVS-005;Kertas HVS 75gr A3 Sidu;Kertas;17;Rim;1;Rim;75363;79500;87500;76000
644;HVS-005;Kertas HVS 75gr A3 Sidu;Kertas;3,4;Dus;5;Rim;376815;392500;0;0
645;HVS-006;Kertas HVS 80gr A3 Sidu;Kertas;25;Rim;1;Rim;84843;89000;98000;85500
646;HVS-006;Kertas HVS 80gr A3 Sidu;Kertas;5;Dus;5;Rim;424215;440000;0;0
647;HVS-007;Kertas HVS 75 Gr A4 Sidu;Kertas;174;Rim;1;Rim;37683;43000;47500;39000
648;HVS-007;Kertas HVS 75 Gr A4 Sidu;Kertas;34,8;Dus;5;Rim;188415;210000;0;0
649;HVS-008;Kertas HVS 70/75 Gr F4 Sidu;Kertas;224;Rim;1;Rim;42870;48500;53500;44000
650;HVS-008;Kertas HVS 70/75 Gr F4 Sidu;Kertas;44,8;Dus;5;Rim;214350;237500;0;0
651;HVS-009;Kertas HVS 75 A4 Coper;Kertas;6;Rim;1;Rim;34667;40000;48000;35500
652;HVS-009;Kertas HVS 75 A4 Coper;Kertas;1,2;Dus;5;Rim;173335;195000;0;0
653;HVS-010;Kertas HVS 75 F4 Coper;Kertas;15;Rim;1;Rim;38852;44000;48500;39500
654;HVS-010;Kertas HVS 75 F4 Coper;Kertas;3;Dus;5;Rim;194260;215000;0;0
655;HVS-011;Kertas HVS  100 F4 gr;Kertas;-2;Rim;1;Rim;58000;63000;69500;0
656;HVS-012;Kertas HVS  100 A4 gr;Kertas;-6;Rim;1;Rim;49777;55000;60500;0
657;HVS-013;Kertas HVS F4 Merah 70 Sidu;Kertas;17;Rim;1;Rim;66500;71500;79500;0
658;HVS-013;Kertas HVS F4 Merah 70 Sidu;Kertas;3,4;Dus;5;Rim;332500;352500;0;0
659;HVS-014;Kertas HVS F4 Kuning 70 Sidu;Kertas;7;Rim;1;Rim;66500;71500;79000;0
660;HVS-014;Kertas HVS F4 Kuning 70 Sidu;Kertas;1,4;Dus;5;Rim;332500;352500;0;0
661;HVS-015;Kertas HVS F4 Hijau 70 Sidu;Kertas;16;Rim;1;Rim;66500;71500;79500;0
662;HVS-015;Kertas HVS F4 Hijau 70 Sidu;Kertas;3,2;Dus;5;Rim;332500;352500;0;0
663;HVS-016;Kertas HVS F4 Biru 70 Sidu;Kertas;23;Rim;1;Rim;67500;72500;80000;0
664;HVS-016;Kertas HVS F4 Biru 70 Sidu;Kertas;4,6;Dus;5;Rim;337500;357500;0;0
665;HVS-017;Kertas HVS A4 Merah 70;Kertas;0;Rim;1;Rim;59500;64500;71000;0
666;HVS-017;Kertas HVS A4 Merah 70;Kertas;0;Dus;5;Rim;297500;317500;0;0
667;HVS-018;Kertas HVS A4 Kuning 70 Sidu;Kertas;25;Rim;1;Rim;59500;64500;71000;0
668;HVS-018;Kertas HVS A4 Kuning 70 Sidu;Kertas;5;Dus;5;Rim;297500;317500;0;0
669;HVS-019;Kertas HVS A4 Hijau 70 Sidu;Kertas;9;Rim;1;Rim;59500;64500;71000;0
670;HVS-019;Kertas HVS A4 Hijau 70 Sidu;Kertas;1,8;Dus;5;Rim;297500;317500;0;0
671;HVS-020;Kertas HVS A4 Biru 70 Sidu;Kertas;25;Rim;1;Rim;58500;64500;71000;0
672;HVS-020;Kertas HVS A4 Biru 70 Sidu;Kertas;5;Dus;5;Rim;292500;317500;0;0
673;HVS-021;Kertas HVS DF Hijau 70;Kertas;-4;Rim;1;Rim;127000;132000;145500;0
674;HVS-022;kertas HVS DF kuning 70;Kertas;-5;Rim;1;Rim;127000;132000;145500;0
675;HVS-023;Kertas HVS DF Merah 70;Kertas;0;Rim;1;Rim;127000;132000;145500;0
676;HVS-024;Kertas HVS DF Biru 70;Kertas;-5;Rim;1;Rim;127000;132000;145500;0
677;HVS-025;Kertas Maxi Brite F4 70;ATK;353;RIM;1;RIM;36938;44000;48500;38500
678;HVS-025;Kertas Maxi Brite F4 70;ATK;70,6;DUS;5;RIM;184690;215000;0;0
679;HVS-026;Kertas Aone FC 70 A4;ATK;2;RIM;1;RIM;35500;40500;45000;0
680;HVS-026;Kertas Aone FC 70 A4;ATK;0,4;DUS;5;RIM;177500;197500;0;0
681;HVS-027;Kertas A4 70G PPL;Kertas;0;RIM;1;RIM;27072;32000;35500;0
682;HVS-027;Kertas A4 70G PPL;Kertas;0;DUS;10;RIM;270720;310000;0;0
683;HVS-028;Kertas HVS Warna Polos F4/A4;Kertas;0;RIM;1;RIM;50500;55000;60500;0
684;HVS-029;Kertas HVS A3 100gr;Cetakan;0;RIM;1;RIM;0;125000;137500;0
685;HVS-030;Kertas F4 IK Flexo;ATK;0;RIM;1;RIM;38852;43500;48000;39000
686;HVS-030;Kertas F4 IK Flexo;ATK;0;DUS;5;RIM;194260;212500;0;0
687;HVS-031;Kertas A4 MAxi 70gr;ATK;0;RIM;1;RIM;32350;38000;42000;34000
688;HVS-031;Kertas A4 MAxi 70gr;ATK;0;DUS;5;RIM;161750;185000;0;0
689;HVS-032;KERTAS HVS DF PUTIH 80 gr;Kertas;360;RIM;1;RIM;90000;95000;104500;0
690;HVS-033;KERTAS HVS DF PUTIH 70 gr;Kertas;345;RIM;1;RIM;79000;84000;92500;0
691;HVS-034;Kertas HVS A3 100 Gr;ATK;1;RIM;1;RIM;100500;125000;137500;0
692;HVS-035;KERTAS HVS DF PUTIH 100 gr;Kertas;86;Rim;1;Rim;112000;117000;129000;0
693;HVS-036;Kertas A4 70gr  Mirage;ATK;0;Rim;1;Rim;37000;42000;46500;0
694;HVS-036;Kertas A4 70gr  Mirage;ATK;0;DUS;5;Rim;185000;205000;0;0
695;HVS-037;Kertas F4 70gr Mirage;ATK;0;Rim;1;Rim;37215;42500;48000;38000
696;HVS-037;Kertas F4 70gr Mirage;ATK;0;DUS;5;Rim;186075;207500;0;0
697;HVS-038;Kertas HVS F4 70gr BOLA DUNIA;ATK;0;Rim;1;Rim;45045;50500;56000;0
698;HVS-038;Kertas HVS F4 70gr BOLA DUNIA;ATK;0;DUS;5;Rim;225225;247500;0;0
699;HVS-039;Kertas Hvs A5 75gr SIDU;Kertas;-6;Rim;1;Rim;19750;24000;26500;0
700;HVS-040;Kertas HVS 75gr A4 Epaper;Kertas;99;Rim;1;Rim;32804;38500;42500;34500
701;HVS-040;Kertas HVS 75gr A4 Epaper;Kertas;19,8;Dus;5;Rim;164020;187500;0;0
702;HVS-041;Kertas A4 IK Flexo;ATK;48;Rim;1;Rim;34154;39000;43000;35000
703;HVS-041;Kertas A4 IK Flexo;ATK;9,6;Dus;5;Rim;170770;190000;0;0
704;HVS-042;Kertas A4 70gr Bola Dunia;ATK;20;Rim;1;Rim;36562;41500;46000;37500
705;HVS-042;Kertas A4 70gr Bola Dunia;ATK;4;Dus;5;Rim;182810;202500;0;0
706;HVS-043;Kertas A3 70gr Bola Dunia;ATK;0;Rim;1;Rim;75173;80500;89000;0
707;HVS-043;Kertas A3 70gr Bola Dunia;ATK;0;Dus;5;Rim;375865;397500;0;0
708;HVS-044;Kertas HVS 75Gr F4 Epaper;Kertas;0;Rim;1;Rim;39628;45000;49500;40500
709;HVS-044;Kertas HVS 75Gr F4 Epaper;Kertas;0;Dus;5;Rim;198140;220000;0;0
710;I-001;"Isolasi Bening 1/2""x10 Kcl GoldT";ATK;74;Roll;1;Roll;541;1000;1500;0
711;I-001;"Isolasi Bening 1/2""x10 Kcl GoldT";ATK;6,17;Slop;12;Roll;6492;11000;0;0
712;I-002;"Isolasi Bening 1/2""x72 Biasa/ Hamaci";ATK;0;Roll;1;Roll;1770;2500;3000;0
713;I-002;"Isolasi Bening 1/2""x72 Biasa/ Hamaci";ATK;0;Slop;12;Roll;21240;27000;0;0
714;I-003;"Isolasi Bening 1/2""x72 Daimaru";ATK;623;Roll;1;Roll;1894;3500;4000;0
715;I-003;"Isolasi Bening 1/2""x72 Daimaru";ATK;51,92;Slop;12;Roll;22728;38000;0;0
716;I-004;"Isolasi Bening 1""x72 Daimaru";ATK;909;Roll;1;Roll;5006;7000;8000;0
717;I-004;"Isolasi Bening 1""x72 Daimaru";ATK;151,5;Slop;6;Roll;30036;38000;0;0
718;I-005;"Isolasi Bening 2"" Daimaru";ATK;207;Roll;1;Roll;10712;14500;16000;0
719;I-005;"Isolasi Bening 2"" Daimaru";ATK;34,5;Slop;6;Roll;64272;78500;0;0
720;I-006;"Isolasi Bening 1/2""x72 Panfix";ATK;11;Roll;1;Roll;11875;16500;18500;0
721;I-006;"Isolasi Bening 1/2""x72 Panfix";ATK;0,92;Slop;12;Roll;142500;178500;0;0
722;I-007;"Isolasi Bening 1""x72 Panfix";ATK;144;Roll;1;Roll;21666;37500;41500;0
723;I-007;"Isolasi Bening 1""x72 Panfix";ATK;12;Slop;12;Roll;259992;405000;0;0
724;I-008;"Isolasi Coklat 2"" Daimaru";ATK;351;Roll;1;Roll;9048;15000;16500;0
725;I-008;"Isolasi Coklat 2"" Daimaru";ATK;58,5;Slop;6;Roll;54288;81000;0;0
726;I-009;Isolasi Bening 1/2''x10 panfix;ATK;4;Roll;1;Roll;5000;7000;8000;0
727;I-009;Isolasi Bening 1/2''x10 panfix;ATK;0,33;Slop;12;Roll;60000;76000;0;0
728;I-010;"Isolasi Bening 2"" Hero Tape";ATK;1.776,00;Roll;1;Roll;6000;9500;10500;0
729;I-010;"Isolasi Bening 2"" Hero Tape";ATK;296;Slop;6;Roll;33330;51500;0;0
730;IC-001;Isi Cutter  L150 Kenko / Joyko;ATK;138;tube;1;tube;5083;7000;8000;0
731;IC-001;Isi Cutter  L150 Kenko / Joyko;ATK;11,5;Pak;12;tube;60996;76000;0;0
732;IC-002;Isi Cutter A100 Kenko / Joyko;ATK;259;tube;1;tube;2520;4000;4500;0
733;IC-002;Isi Cutter A100 Kenko / Joyko;ATK;21,58;Pak;12;tube;30240;43500;0;0
734;IDCAR-001;Bahan ID Card Isi 50;Id Card;0;Pak;1;Pak;265000;358500;394500;0
735;IDCAR-002;Bahan ID Card Eprint;Id Card;15;Pak;1;Pak;43086;58500;64500;0
736;IDCAR-003;Casing ID Card Potrait Merah;Id Card;204;Bh;1;Bh;700;1500;2000;0
737;IDCAR-003;Casing ID Card Potrait Merah;Id Card;2,04;Pak;100;Bh;70000;135000;0;0
738;IDCAR-004;Casing ID Card Potrait Kuning;Id Card;317;Bh;1;Bh;700;1500;2000;0
739;IDCAR-004;Casing ID Card Potrait Kuning;Id Card;3,17;Pak;100;Bh;70000;135000;0;0
740;IDCAR-005;Casing ID Card Potrait Hijau;Id Card;345;Bh;1;Bh;700;1500;2000;0
741;IDCAR-005;Casing ID Card Potrait Hijau;Id Card;3,45;Pak;100;Bh;70000;135000;0;0
742;IDCAR-006;Casing ID Card Potrait Putih;Id Card;233;Bh;1;Bh;700;1500;2000;0
743;IDCAR-006;Casing ID Card Potrait Putih;Id Card;2,33;Pak;100;Bh;70000;135000;0;0
744;IDCAR-007;Casing ID Card Potrait Biru;Id Card;767;Bh;1;Bh;700;1500;2000;0
745;IDCAR-007;Casing ID Card Potrait Biru;Id Card;7,67;Pak;100;Bh;70000;135000;0;0
746;IDCAR-008;Casing ID Card Potrait Ungu;Id Card;0;Bh;1;Bh;700;1500;2000;0
747;IDCAR-008;Casing ID Card Potrait Ungu;Id Card;0;Pak;100;Bh;70000;135000;0;0
748;IDCAR-009;Casing ID Card Potrait Hitam;Id Card;349;Bh;1;Bh;700;1500;2000;0
749;IDCAR-009;Casing ID Card Potrait Hitam;Id Card;3,49;Pak;100;Bh;70000;135000;0;0
750;IDCAR-010;Casing IDCard Portrait Mk Bng;Id Card;0;Bh;1;Bh;700;1500;2000;0
751;IDCAR-010;Casing IDCard Portrait Mk Bng;Id Card;0;Pak;100;Bh;70000;135000;0;0
752;IDCAR-011;Casing ID Card Landscape Mrh;Id Card;-50;Bh;1;Bh;750;1500;2000;0
753;IDCAR-011;Casing ID Card Landscape Mrh;Id Card;-0,5;Pak;100;Bh;75000;135000;0;0
754;IDCAR-012;Casing ID Card Landscape Kng;Id Card;-70;Bh;1;Bh;750;1500;2000;0
755;IDCAR-012;Casing ID Card Landscape Kng;Id Card;-0,7;Pak;100;Bh;75000;135000;0;0
756;IDCAR-013;Casing ID Card Landscape Hj;Id Card;-53;Bh;1;Bh;750;1500;2000;0
757;IDCAR-013;Casing ID Card Landscape Hj;Id Card;-0,53;Pak;100;Bh;75000;135000;0;0
758;IDCAR-014;Casing ID Card Landscape Br;Id Card;-101;Bh;1;Bh;750;1500;2000;0
759;IDCAR-014;Casing ID Card Landscape Br;Id Card;-1,01;Pak;100;Bh;75000;135000;0;0
760;IDCAR-015;Casing ID Card Landscape Htm;Id Card;-8;Bh;1;Bh;750;1500;2000;0
761;IDCAR-015;Casing ID Card Landscape Htm;Id Card;-0,08;Pak;100;Bh;75000;135000;0;0
762;IDCAR-016;Casing ID Card Landscape Bng;Id Card;-98;Bh;1;Bh;750;1500;2000;0
763;IDCAR-016;Casing ID Card Landscape Bng;Id Card;-0,98;Pak;100;Bh;75000;135000;0;0
764;IDCAR-017;Casing potrait 2 in 1;Id Card;0;Bh;1;Bh;1100;2000;2500;0
765;IDCAR-017;Casing potrait 2 in 1;Id Card;0;Pak;100;Bh;110000;180000;0;0
766;IDCAR-018;Plastik STNK;Id Card;57;Bh;1;Bh;170;0;0;0
767;IDCAR-018;Plastik STNK;Id Card;0,57;Pak;100;Bh;17000;0;0;0
768;IDCAR-019;Plastik ID Card Landscape 9,5 x 6,5 cm;Id Card;400;Bh;1;Bh;350;500;600;0
769;IDCAR-019;Plastik ID Card Landscape 9,5 x 6,5 cm;Id Card;4;Pak;100;Bh;35000;45000;0;0
770;IDCAR-020;Plastik ID Card 6 x 9 cm;Id Card;3.100,00;Bh;1;Bh;165;0;0;0
771;IDCAR-020;Plastik ID Card 6 x 9 cm;Id Card;31;Pak;100;Bh;16500;0;0;0
772;IDCAR-021;Plastik ID Card 6.5 x 9.5 cm;Id Card;0;Bh;1;Bh;350;0;0;0
773;IDCAR-021;Plastik ID Card 6.5 x 9.5 cm;Id Card;0;Pak;100;Bh;35000;0;0;0
774;IDCAR-022;Plastik ID Card 6,5 x 10,5 cm;Id Card;-1;Bh;1;Bh;300;0;0;0
775;IDCAR-022;Plastik ID Card 6,5 x 10,5 cm;Id Card;-0,01;Pak;100;Bh;30000;0;0;0
776;IDCAR-023;Plastik ID Card 8 x 12 cm;Id Card;0;Bh;1;Bh;210;0;0;0
777;IDCAR-023;Plastik ID Card 8 x 12 cm;Id Card;0;Pak;100;Bh;21000;0;0;0
778;IDCAR-024;Plastik ID Card 8 x 13.5 cm;Id Card;0;Bh;1;Bh;230;0;0;0
779;IDCAR-024;Plastik ID Card 8 x 13.5 cm;Id Card;0;Pak;100;Bh;23000;0;0;0
780;IDCAR-025;Plastik ID Card 8.5  x 13.5 cm;Id Card;38;Bh;1;Bh;280;500;1000;0
781;IDCAR-025;Plastik ID Card 8.5  x 13.5 cm;Id Card;0,38;Pak;100;Bh;28000;45000;0;0
782;IDCAR-026;Plastik ID Card 9 x 15.5 cm;Id Card;0;Bh;1;Bh;300;800;880;0
783;IDCAR-026;Plastik ID Card 9 x 15.5 cm;Id Card;0;Pak;100;Bh;30000;72000;0;0
784;IDCAR-027;Plastik ID Card 10.5 x 16 cm;Id Card;352;Bh;1;Bh;320;500;1000;0
785;IDCAR-027;Plastik ID Card 10.5 x 16 cm;Id Card;3,52;Pak;100;Bh;32000;45000;0;0
786;IDCAR-028;Plastik ID Card 11 x 17 cm;Id Card;1.088,00;Bh;1;Bh;350;800;1000;0
787;IDCAR-028;Plastik ID Card 11 x 17 cm;Id Card;10,88;Pak;100;Bh;35000;72000;0;0
788;IDCAR-029;Plastik ID Card Stardust;Id Card;0;Set;1;Set;500;0;0;0
789;IDCAR-029;Plastik ID Card Stardust;Id Card;0;Pak;100;Set;50000;0;0;0
790;IDCAR-030;Plastik ID Card Elvin;Id Card;9;Bh;1;Bh;900;1500;2000;0
791;IDCAR-030;Plastik ID Card Elvin;Id Card;0,18;Pak;50;Bh;45000;61000;67500;0
792;IDCAR-031;Plastik ID Card sakura;Id Card;0;Pak;1;Pak;22000;0;0;0
793;IDCAR-032;Plastik ID Card Uk 11.5x19;ATK;0;PCS;1;PCS;390;0;0;0
794;IDCAR-032;Plastik ID Card Uk 11.5x19;ATK;0;PAK;100;PCS;39000;0;0;0
795;IDCAR-033;Casing ID Card potrait orange;Id Card;22;Bh;1;Bh;700;1500;2000;0
796;IDCAR-033;Casing ID Card potrait orange;Id Card;0,22;Pak;100;Bh;70000;135000;0;0
797;IDCAR-034;Plastik Id Card Karet 1 Sisi;ATK;0;Pcs;1;Pcs;2000;3000;3500;0
798;IDCAR-034;Plastik Id Card Karet 1 Sisi;ATK;0;Pak;10;Pcs;20000;27000;0;0
799;IDCAR-035;Plastik ID CARD B4 Tebel;Id Card;0;Bh;1;Bh;1000;1500;2000;0
800;IDCAR-035;Plastik ID CARD B4 Tebel;Id Card;0;Pak;20;Bh;20000;27000;0;0
801;IDCAR-036;Plastik Idcard SPP 12x17cm;Id Card;200;Bh;1;Bh;450;1000;2000;0
802;IDCAR-036;Plastik Idcard SPP 12x17cm;Id Card;2;Pak;100;Bh;45000;90000;0;0
803;IK-001;"Isolasi Kertas 2""  Daimaru";ATK;87;Roll;1;Roll;12441;17000;19000;0
804;IK-001;"Isolasi Kertas 2""  Daimaru";ATK;1,81;Dus;48;Roll;597168;734500;0;0
805;IK-002;"Isolasi Kertas 1""  Daimaru";ATK;116;Roll;1;Roll;6221;9000;10000;0
806;IK-002;"Isolasi Kertas 1""  Daimaru";ATK;1,21;Dus;96;Roll;597216;778000;0;0
807;IK-003;"Isolasi Kertas 2""  Ekatape";ATK;0;Roll;1;Roll;5651;8000;0;0
808;IK-004;"Isolasi Kertas 1""  Ekatape";ATK;0;Roll;1;Roll;3238;5000;5500;0
809;IK-005;Isolasi kabel listrik hitam Daimaru;ATK;4;Roll;1;Roll;3888;6000;7000;0
810;IK-006;Isolasi Kertas 2'' Daisuha;ATK;211;Roll;1;Roll;9583;13000;14500;0
811;IK-006;Isolasi Kertas 2'' Daisuha;ATK;8,79;Dus;24;Roll;229992;281000;0;0
812;INEN-001;Karton Linen F4;Kertas;4;Pak;1;Pak;57300;65000;71500;0
813;INEN-002;Karton Linen A4;Kertas;-17;Pak;1;Pak;60000;65000;71500;0
814;INEN-003;Karton Linen A3+;Kertas;800;Lbr;1;Lbr;1650;0;0;0
815;IP-001;Isi Pulpen Gel Joyko hitam;ATK;1;Bh;1;Bh;916;1500;2000;0
816;IP-001;Isi Pulpen Gel Joyko hitam;ATK;0,04;Pak;24;Bh;21984;32500;0;0
817;IP-002;Isi Pulpen Gel Joyko biru;ATK;93;Bh;1;Bh;916;1500;2000;0
818;IP-002;Isi Pulpen Gel Joyko biru;ATK;3,88;Pak;24;Bh;21984;32500;0;0
819;IP-003;Isi Pensil Mknk 2B Pilot;ATK;0;Bh;1;Bh;2416;3500;4000;0
820;IP-003;Isi Pensil Mknk 2B Pilot;ATK;0;Pak;12;Bh;28992;38000;0;0
821;IP-004;Isi Pensil Mknk 2B 0.5 Joyko;ATK;13;Bh;1;Bh;854;1500;2000;0
822;IP-004;Isi Pensil Mknk 2B 0.5 Joyko;ATK;1,08;Pak;12;Bh;10248;16500;0;0
823;IP-005;Isi Pulpen Pentel Hitam;ATK;19;Bh;1;Bh;16667;23000;25500;0
824;IP-005;Isi Pulpen Pentel Hitam;ATK;1,58;Pak;12;Bh;200004;248500;0;0
825;IP-006;Isi Pulpen Pentel Biru;ATK;1;Bh;1;Bh;17000;25000;27500;0
826;IP-006;Isi Pulpen Pentel Biru;ATK;0,08;Pak;12;Bh;204000;270000;0;0
827;IP-007;Isi Pulpen Gel Berbie;ATK;0;Bh;1;Bh;1000;1500;2000;0
828;IP-007;Isi Pulpen Gel Berbie;ATK;0;Pak;20;Bh;20000;27000;0;0
829;IP-008;Isi Pulpen Parker Hitam;ATK;0;Bh;1;Bh;13750;19000;21000;0
830;IP-008;Isi Pulpen Parker Hitam;ATK;0;Pak;12;Bh;165000;205500;0;0
831;IP-009;Isi Pulpen Parker Biru;ATK;0;Bh;1;Bh;13750;19000;21000;0
832;IP-009;Isi Pulpen Parker Biru;ATK;0;Pak;12;Bh;165000;205500;0;0
833;IP-010;Isi Pulpen Parker Roller Biru;ATK;104;Bh;1;Bh;30000;40500;45000;0
834;IP-010;Isi Pulpen Parker Roller Biru;ATK;8,67;Pak;12;Bh;360000;437500;0;0
835;IP-011;Isi Pulpen Parker Roller Hitam;ATK;54;Bh;1;Bh;30000;40500;45000;0
836;IP-011;Isi Pulpen Parker Roller Hitam;ATK;4,5;Pak;12;Bh;360000;437500;0;0
837;IP-012;Isi Pulpen Pilot Frixion 0.5 Biru;ATK;43;Bh;1;Bh;10208;14000;15500;0
838;IP-012;Isi Pulpen Pilot Frixion 0.5 Biru;ATK;3,58;Pak;12;Bh;122496;151500;0;0
839;IP-013;Isi Pulpen Snowman V5 Hitam;ATK;144;Bh;1;Bh;500;1000;1500;0
840;IP-013;Isi Pulpen Snowman V5 Hitam;ATK;12;Pak;12;Bh;6000;11000;0;0
841;IP-014;Isi Pulpen Snowman V5 Biru;ATK;576;Bh;1;Bh;500;1000;1500;0
842;IP-014;Isi Pulpen Snowman V5 Biru;ATK;48;Pak;12;Bh;6000;11000;0;0
843;IP-015;Isi Pulpen Pilot Super Hitam;ATK;0;Bh;1;Bh;1400;2000;2500;0
844;IP-015;Isi Pulpen Pilot Super Hitam;ATK;0;Pak;12;Bh;16800;22000;0;0
845;IP-016;Isi Pulpen Pilot Super Biru;ATK;0;Bh;1;Bh;1333;2000;2500;0
846;IP-016;Isi Pulpen Pilot Super Biru;ATK;0;Pak;12;Bh;15996;22000;0;0
847;IP-017;Isi Pulpen bic Hitam;ATK;0;Bh;1;Bh;2000;3000;3500;0
848;IP-018;Isi Pulpen bic Biru;ATK;0;Bh;1;Bh;2000;3000;3500;0
849;IP-019;Isi Pulpen bic Merah;ATK;0;Bh;1;Bh;2000;3000;3500;0
850;IP-020;Isi Pulpen V7 Hitam;ATK;208;Pcs;1;Pcs;833;2000;2500;0
851;IP-020;Isi Pulpen V7 Hitam;ATK;17,33;Pak;12;Pcs;9996;22000;0;0
852;IP-021;Isi Pulpen Pilot Frixion 0,7 Hitam;ATK;8;Bh;1;Bh;11250;15500;17500;0
853;IP-021;Isi Pulpen Pilot Frixion 0,7 Hitam;ATK;0,67;Pak;12;Bh;135001;167500;0;0
854;IP-022;Isi Pulpen Pilot Frixion 0,7 Biru;ATK;33;Bh;1;Bh;11250;15500;17500;0
855;IP-022;Isi Pulpen Pilot Frixion 0,7 Biru;ATK;2,75;Pak;12;Bh;135000;167500;0;0
856;IP-023;Isi Pulpen Pilot Frixion 0,5 Htm;ATK;37;Bh;1;Bh;11666;16000;18000;0
857;IP-023;Isi Pulpen Pilot Frixion 0,5 Htm;ATK;3,08;Pak;12;Bh;140000;173000;0;0
858;IP-025;Isi Pulpen snowman V7 Biru;ATK;429;Bh;1;Bh;1631;2500;3000;0
859;IP-025;Isi Pulpen snowman V7 Biru;ATK;35,75;Pak;12;Bh;19572;27000;0;0
860;IP-026;Isi Pulpen Pilot Frixion 0.5 Merah;ATK;7;Bh;1;Bh;10208;14000;15500;0
861;IP-026;Isi Pulpen Pilot Frixion 0.5 Merah;ATK;0,58;Pak;12;Bh;122469;151500;0;0
862;IS-001;Isi Staples No 10 Etona;ATK;1.131,00;Dus;1;Dus;1474;2000;2500;0
863;IS-001;Isi Staples No 10 Etona;ATK;56,55;Pak;20;Dus;29480;36000;0;0
864;IS-002;Isi Staples No 3 Etona;ATK;352;Dus;1;Dus;3000;4500;5000;0
865;IS-002;Isi Staples No 3 Etona;ATK;17,6;Pak;20;Dus;60000;81000;0;0
866;IS-003;Isi Staples No 10 Max;ATK;437;Dus;1;Dus;2750;4000;4500;0
867;IS-003;Isi Staples No 10 Max;ATK;21,85;Pak;20;Dus;55000;72000;0;0
868;IS-004;Isi Staples No 3 Max;ATK;231;Dus;1;Dus;6000;8000;9000;0
869;IS-004;Isi Staples No 3 Max;ATK;11,55;Pak;20;Dus;120000;144000;0;0
870;IS-005;Isi Staples No 10 KK;ATK;-31;Dus;1;Dus;950;1500;2000;0
871;IS-005;Isi Staples No 10 KK;ATK;-1,55;Pak;20;Dus;19000;27000;0;0
872;IS-006;Isi Staples No 3 Kangaro;ATK;180;Dus;1;Dus;2700;4000;4500;0
873;IS-006;Isi Staples No 3 Kangaro;ATK;9;Pak;20;Dus;54000;72000;0;0
874;IS-007;Isi Staples No 1217 Max;ATK;2;Dus;1;Dus;20000;27000;30000;0
875;IS-007;Isi Staples No 1217 Max;ATK;0,2;Pak;10;Dus;200000;243000;0;0
876;IS-008;Isi Staples No 1215 Max;ATK;75;Dus;1;Dus;18500;25000;27500;0
877;IS-008;Isi Staples No 1215 Max;ATK;7,5;Pak;10;Dus;185000;225000;0;0
878;IS-009;Isi Staples No 1213 Max;ATK;46;Dus;1;Dus;20000;27000;30000;0
879;IS-009;Isi Staples No 1213 Max;ATK;4,6;Pak;10;Dus;200000;243000;0;0
880;IS-010;Isi Staples No 1210 Max;ATK;-11;Dus;1;Dus;17000;23000;25500;0
881;IS-010;Isi Staples No 1210 Max;ATK;-1,1;Pak;10;Dus;170000;207000;0;0
882;IS-011;Isi Staples No 2310 Etona;ATK;51;Dus;1;Dus;11000;15000;16500;0
883;IS-011;Isi Staples No 2310 Etona;ATK;5,1;Pak;10;Dus;110000;135000;0;0
884;IS-012;Isi Staples No 2313 Etona;ATK;23;Dus;1;Dus;13000;18500;20500;0
885;IS-012;Isi Staples No 2313 Etona;ATK;2,3;Pak;10;Dus;130000;166500;0;0
886;IS-013;Isi Staples No 2315 Etona;ATK;37;Dus;1;Dus;17000;23000;25500;0
887;IS-013;Isi Staples No 2315 Etona;ATK;3,7;Pak;10;Dus;170000;207000;0;0
888;IS-014;Isi Staples No 2317 Etona;ATK;25;Dus;1;Dus;20000;27000;3000;0
889;IS-014;Isi Staples No 2317 Etona;ATK;2,5;Pak;10;Dus;200000;243000;0;0
890;IS-015;Isi Staples No 23/8 Etona;ATK;11;Dus;1;Dus;8000;11000;12500;0
891;IS-015;Isi Staples No 23/8 Etona;ATK;1,1;Pak;10;Dus;80000;99000;0;0
892;ISISTAMP-001;Ngisi Tinta Stampel;FC;0;Bh;1;Bh;0;0;0;0
893;J-001;Jangka MS 402 Joyko;ATK;0;Bh;1;Bh;5833;8000;9000;0
894;J-002;Jangka MS 55 Joyko;ATK;0;Bh;1;Bh;3750;5500;6500;0
895;J-003;Jangka C168 Kenko;ATK;0;Bh;1;Bh;5500;8000;9000;0
896;J-003;Jangka C168 Kenko;ATK;0;Pak;12;Bh;66000;86500;0;0
